Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:2 THR:1.0 soft,FP1-F7,5.337160175883345,3.122557258212676e-05,1.1324537245631559,0.904224260558339,43.75009185911911
DB4 LVL:2 THR:1.0 soft,F7-T7,4.7566513218328925,2.4914482301376048e-05,1.9510758034412916,0.8847603210556109,47.11801990752213
DB4 LVL:2 THR:1.0 soft,T7-P7,4.193148596739666,2.933553257164973e-05,2.294101899231576,0.8731480864821801,49.300356547141156
DB4 LVL:2 THR:1.0 soft,P7-O1,5.074122635816946,2.518629121207507e-05,1.9530371635856814,0.8931180393588868,45.59796766756498
DB4 LVL:2 THR:1.0 soft,FP1-F3,5.952063115973374,2.9483211044135474e-05,1.1808910077068027,0.9108132480298833,41.994625138046054
DB4 LVL:2 THR:1.0 soft,F3-C3,8.62850550876172,1.679291075974983e-05,1.5858084289564516,0.9453158277525858,33.0260781250487
DB4 LVL:2 THR:2.0 hard,FP1-F7,5.341413754727941,3.1211369601553474e-05,1.1319386269389948,0.9043284748787868,43.73019208936725
DB4 LVL:2 THR:2.0 hard,F7-T7,4.7726525537757025,2.4872842207109915e-05,1.947814929729652,0.8852029880907788,47.039270577439744
DB4 LVL:2 THR:2.0 hard,T7-P7,4.203410641082646,2.9304572429283603e-05,2.2916807493434956,0.8734594200179333,49.24832592340278
DB4 LVL:2 THR:2.0 hard,P7-O1,5.074935112571556,2.518419006674499e-05,1.9528742330898339,0.8931384651807668,45.59416369515717
DB4 LVL:2 THR:2.0 hard,FP1-F3,5.955474582224836,2.947251477005134e-05,1.1804625898569623,0.9108876323036291,41.97938982260282
DB4 LVL:2 THR:2.0 hard,F3-C3,8.629705683607433,1.679066407806899e-05,1.5855962675987434,0.9453319082427863,33.02165964836082
DB4 LVL:2 THR:2.0 soft,FP1-F7,5.329908999600295,3.125013502279824e-05,1.1333445273610747,0.9040428034435793,43.78450624921028
DB4 LVL:2 THR:2.0 soft,F7-T7,4.720130652851715,2.5012247906010367e-05,1.9587319169941826,0.8837099625478643,47.302913241837025
DB4 LVL:2 THR:2.0 soft,T7-P7,4.1685544534808905,2.9411997884911438e-05,2.3000816516001605,0.8723714342530334,49.428861703748886
DB4 LVL:2 THR:2.0 soft,P7-O1,5.070647017000458,2.519559856030677e-05,1.9537588894181148,0.8930264770531047,45.61481795172021
DB4 LVL:2 THR:2.0 soft,FP1-F3,5.945834840221628,2.9503124038421795e-05,1.18168858283707,0.9106736237307167,42.022988355647364
DB4 LVL:2 THR:2.0 soft,F3-C3,8.623774903955523,1.6801822867160797e-05,1.586650027846261,0.9452518455503741,33.04360528039563
DB4 LVL:2 THR:3.0 hard,FP1-F7,5.337090018499192,3.122599664616401e-05,1.1324691040376929,0.9042205265646659,43.750686014455574
DB4 LVL:2 THR:3.0 hard,F7-T7,4.745781546946,2.494419353103702e-05,1.9534025168997853,0.8844396829307607,47.17420948809252
DB4 LVL:2 THR:3.0 hard,T7-P7,4.18510591013545,2.9361257559760268e-05,2.2961136487690332,0.8728850510631504,49.34358913829739
DB4 LVL:2 THR:3.0 hard,P7-O1,5.072320100647879,2.5191158320673977e-05,1.9534145769925553,0.8930700316702431,45.60677921741402
DB4 LVL:2 THR:3.0 hard,FP1-F3,5.951191165557069,2.9486220516878787e-05,1.1810115461140742,0.9107915362619121,41.99891170233953
DB4 LVL:2 THR:3.0 hard,F3-C3,8.625893626704507,1.6797827774992982e-05,1.5862727584779652,0.9452805413245949,33.035748260970074
DB4 LVL:2 THR:3.0 soft,FP1-F7,5.324975542661717,3.1266921590937016e-05,1.133953323614895,0.9039184893666813,43.80802587871073
DB4 LVL:2 THR:3.0 soft,F7-T7,4.699523034354978,2.5067805550709697e-05,1.963082686757641,0.8831102717455809,47.40798330419242
DB4 LVL:2 THR:3.0 soft,T7-P7,4.155148551740831,2.9453911362805566e-05,2.3033593759436837,0.8719442883515744,49.4993001523867
DB4 LVL:2 THR:3.0 soft,P7-O1,5.069114893416552,2.51997323700546e-05,1.9540794401493329,0.8929857021425122,45.6223019167724
DB4 LVL:2 THR:3.0 soft,FP1-F3,5.9418393229065325,2.9515928882401407e-05,1.18220145523377,0.910583717481549,42.04122702788934
